pos_data(lat=-25.745327099999997, long=28.247456399999997, heading=321.47933, speed=1.49)
pos_data(lat=-25.7453261, long=28.2474553, heading=319.1746, speed=1.55)
pos_data(lat=-25.7453251, long=28.2474542, heading=316.55911000000003, speed=1.49)
pos_data(lat=-25.745324099999998, long=28.2474532, heading=315.28836, speed=1.48)
pos_data(lat=-25.7453224, long=28.2474509, heading=312.94667000000004, speed=1.43)
pos_data(lat=-25.745321399999998, long=28.247449699999997, heading=312.25182, speed=1.53)
pos_data(lat=-25.7453206, long=28.247448499999997, heading=311.09763000000004, speed=1.53)
pos_data(lat=-25.745319799999997, long=28.247447299999997, heading=309.61310000000003, speed=1.45)
pos_data(lat=-25.745318899999997, long=28.247446099999998, heading=308.73261, speed=1.49)
pos_data(lat=-25.7453182, long=28.2474448, heading=305.26113000000004, speed=1.52)
pos_data(lat=-25.745317399999998, long=28.2474436, heading=306.1723, speed=1.49)
pos_data(lat=-25.7453167, long=28.2474423, heading=304.03844000000004, speed=1.49)
pos_data(lat=-25.745316, long=28.247441, heading=302.39594000000005, speed=1.48)
pos_data(lat=-25.745315299999998, long=28.247439699999997, heading=302.22278, speed=1.47)
pos_data(lat=-25.7453145, long=28.2474383, heading=302.19811000000004, speed=1.53)
pos_data(lat=-25.745314, long=28.247436999999998, heading=300.1725, speed=1.41)
pos_data(lat=-25.7453133, long=28.2474357, heading=299.52658, speed=1.54)
pos_data(lat=-25.7453127, long=28.2474344, heading=298.69636, speed=1.42)
pos_data(lat=-25.745312199999997, long=28.2474329, heading=296.11812000000003, speed=1.51)
pos_data(lat=-25.745311599999997, long=28.2474316, heading=296.69484, speed=1.49)
pos_data(lat=-25.7453106, long=28.247428799999998, heading=292.9673, speed=1.43)
pos_data(lat=-25.745310099999998, long=28.247427499999997, heading=291.46196000000003, speed=1.43)
pos_data(lat=-25.7453097, long=28.2474261, heading=291.16864000000004, speed=1.43)
pos_data(lat=-25.745309199999998, long=28.2474247, heading=290.08382, speed=1.47)
pos_data(lat=-25.745308899999998, long=28.247423299999998, heading=287.44474, speed=1.43)
pos_data(lat=-25.7453085, long=28.2474219, heading=287.83589, speed=1.46)
pos_data(lat=-25.7453082, long=28.2474204, heading=286.42218, speed=1.48)
pos_data(lat=-25.7453079, long=28.247418999999997, heading=284.34914000000003, speed=1.42)
pos_data(lat=-25.7453076, long=28.2474176, heading=284.41225000000003, speed=1.47)
pos_data(lat=-25.7453073, long=28.2474161, heading=283.49867, speed=1.46)
pos_data(lat=-25.745307099999998, long=28.2474147, heading=279.75619, speed=1.43)
pos_data(lat=-25.7453069, long=28.2474132, heading=279.90416000000005, speed=1.49)
pos_data(lat=-25.7453066, long=28.247411699999997, heading=280.69313, speed=1.5)
pos_data(lat=-25.7453066, long=28.247410199999997, heading=276.42325, speed=1.44)
pos_data(lat=-25.745306499999998, long=28.247408699999998, heading=275.26086000000004, speed=1.47)
pos_data(lat=-25.7453064, long=28.247407199999998, heading=275.80566000000005, speed=1.46)
pos_data(lat=-25.7453063, long=28.2474043, heading=273.07512, speed=1.46)
pos_data(lat=-25.745306199999998, long=28.2474028, heading=273.10602, speed=1.45)
pos_data(lat=-25.7453063, long=28.2474013, heading=270.59983, speed=1.48)
pos_data(lat=-25.7453064, long=28.2473998, heading=268.74786, speed=1.49)
pos_data(lat=-25.7453064, long=28.2473982, heading=268.49397000000005, speed=1.5)
pos_data(lat=-25.745306499999998, long=28.2473967, heading=266.79131, speed=1.49)
pos_data(lat=-25.7453066, long=28.2473952, heading=265.78129, speed=1.54)
pos_data(lat=-25.745306799999998, long=28.2473936, heading=264.89148, speed=1.5)
pos_data(lat=-25.745307, long=28.2473921, heading=262.81869, speed=1.54)
pos_data(lat=-25.7453072, long=28.247390499999998, heading=262.48357000000004, speed=1.55)
pos_data(lat=-25.7453075, long=28.247389, heading=261.26088000000004, speed=1.52)
